WAD file    : jagdoom.wad
numlumps    : 1855
infotableofs: 3238548

lump name       size  filepos    0xsize   0xfpos
 536   SARGB1    552   332436    0x0228 0x00051294
 537        .   1712   332988    0x06B0 0x000514BC
 538 SARGB2B8    568   334420    0x0238 0x00051A54
 539        .   1652   334988    0x0674 0x00051C8C
 540 SARGB3B7    692   336444    0x02B4 0x0005223C
 541        .   1700   337136    0x06A4 0x000524F0
 542 SARGB4B6    640   338608    0x0280 0x00052AB0
 543        .   1628   339248    0x065C 0x00052D30
 544   SARGB5    496   340644    0x01F0 0x000532A4
 545        .   1520   341140    0x05F0 0x00053494
 546   SARGC1    508   342224    0x01FC 0x000538D0
 547        .   1660   342732    0x067C 0x00053ACC
 548 SARGC2C8    696   344248    0x02B8 0x000540B8
 549        .   1704   344944    0x06A8 0x00054370
 550 SARGC3C7    728   346444    0x02D8 0x0005494C
 551        .   1800   347172    0x0708 0x00054C24
 552 SARGC4C6    628   348680    0x0274 0x00055208
 553        .   1568   349308    0x0620 0x0005547C
 554   SARGC5    440   350612    0x01B8 0x00055994
 555        .   1348   351052    0x0544 0x00055B4C
 556   SARGD1    552   352180    0x0228 0x00055FB4
 557        .   1712   352732    0x06B0 0x000561DC
 558 SARGD2D8    660   354148    0x0294 0x00056764
 559        .   1704   354808    0x06A8 0x000569F8
 560 SARGD3D7    696   356316    0x02B8 0x00056FDC
 561        .   1708   357012    0x06AC 0x00057294
 562 SARGD4D6    552   358464    0x0228 0x00057840
 563        .   1460   359016    0x05B4 0x00057A68
 564   SARGD5    496   360284    0x01F0 0x00057F5C
 565        .   1520   360780    0x05F0 0x0005814C
 566   SARGE1    588   361876    0x024C 0x00058594
 567        .   1760   362464    0x06E0 0x000587E0
 568   SARGE2    556   363912    0x022C 0x00058D88
 569        .   1540   364468    0x0604 0x00058FB4
 570   SARGE3    700   365836    0x02BC 0x0005950C
 571        .   1760   366536    0x06E0 0x000597C8
 572   SARGE4    688   367968    0x02B0 0x00059D60
 573        .   1572   368656    0x0624 0x0005A010
 574   SARGE5    564   369936    0x0234 0x0005A510
 575        .   1476   370500    0x05C4 0x0005A744
 576   SARGE6    568   371568    0x0238 0x0005AB70
 577        .   1432   372136    0x0598 0x0005ADA8
 578   SARGE7    732   373316    0x02DC 0x0005B244
 579        .   1852   374048    0x073C 0x0005B520
 580   SARGE8    656   375588    0x0290 0x0005BB24
 581        .   1780   376244    0x06F4 0x0005BDB4
 582   SARGF1    592   377748    0x0250 0x0005C394
 583        .   1760   378340    0x06E0 0x0005C5E4
 584   SARGF2    580   379760    0x0244 0x0005CB70
 585        .   1732   380340    0x06C4 0x0005CDB4
 586   SARGF3    772   381848    0x0304 0x0005D398
 587        .   2036   382620    0x07F4 0x0005D69C
 588   SARGF4    704   384240    0x02C0 0x0005DCF0
 589        .   1676   384944    0x068C 0x0005DFB0
 590   SARGF5    608   386284    0x0260 0x0005E4EC
 591        .   1584   386892    0x0630 0x0005E74C
 592   SARGF6    596   388088    0x0254 0x0005EBF8
 593        .   1560   388684    0x0618 0x0005EE4C
 594   SARGF7    780   389964    0x030C 0x0005F34C
 595        .   2140   390744    0x085C 0x0005F658
 596   SARGF8    676   392480    0x02A4 0x0005FD20
 597        .   2004   393156    0x07D4 0x0005FFC4
 598   SARGG1    592   394812    0x0250 0x0006063C
 599        .   1784   395404    0x06F8 0x0006088C
 600   SARGG2    600   396928    0x0258 0x00060E80
 601        .   1604   397528    0x0644 0x000610D8
 602   SARGG3    792   398960    0x0318 0x00061670
 603        .   1896   399752    0x0768 0x00061988
 604   SARGG4    712   401336    0x02C8 0x00061FB8
 605        .   1616   402048    0x0650 0x00062280
 606   SARGG5    620   403344    0x026C 0x00062790
 607        .   1640   403964    0x0668 0x000629FC
 608   SARGG6    612   405200    0x0264 0x00062ED0
 609        .   1516   405812    0x05EC 0x00063134
 610   SARGG7    812   407044    0x032C 0x00063604
 611        .   1984   407856    0x07C0 0x00063930
 612   SARGG8    696   409464    0x02B8 0x00063F78
 613        .   1824   410160    0x0720 0x00064230
 614   SARGH1    520   411680    0x0208 0x00064820
 615        .   1748   412200    0x06D4 0x00064A28
 616   SARGH2    568   413664    0x0238 0x00064FE0
 617        .   1584   414232    0x0630 0x00065218
 618   SARGH3    676   415664    0x02A4 0x000657B0
 619        .   1712   416340    0x06B0 0x00065A54
 620   SARGH4    660   417840    0x0294 0x00066030
 621        .   1564   418500    0x061C 0x000662C4
 622   SARGH5    460   419776    0x01CC 0x000667C0
 623        .   1256   420236    0x04E8 0x0006698C
 624   SARGH6    504   421144    0x01F8 0x00066D18
 625        .   1352   421648    0x0548 0x00066F10
 626   SARGH7    712   422744    0x02C8 0x00067358
 627        .   1684   423456    0x0694 0x00067620
 628   SARGH8    652   424800    0x028C 0x00067B60
 629        .   1672   425452    0x0688 0x00067DEC
 630   SARGI0    668   426844    0x029C 0x0006835C
 631        .   1896   427512    0x0768 0x000685F8
 632   SARGJ0    776   429188    0x0308 0x00068C84
 633        .   1736   429964    0x06C8 0x00068F8C
 634   SARGK0    740   431440    0x02E4 0x00069550
 635        .   1424   432180    0x0590 0x00069834
 636   SARGL0    848   433316    0x0350 0x00069CA4
 637        .   1356   434164    0x054C 0x00069FF4
 638   SARGM0    844   435352    0x034C 0x0006A498
 639        .   1284   436196    0x0504 0x0006A7E4
 640   SARGN0    736   437364    0x02E0 0x0006AC74
 641        .   1228   438100    0x04CC 0x0006AF54
 642   TROOA1    528   439244    0x0210 0x0006B3CC
 643        .   1284   439772    0x0504 0x0006B5DC
 644 TROOA2A8    552   440628    0x0228 0x0006B934
 645        .   1204   441180    0x04B4 0x0006BB5C
 646 TROOA3A7    476   442052    0x01DC 0x0006BEC4
 647        .    832   442528    0x0340 0x0006C0A0
 648 TROOA4A6    372   443116    0x0174 0x0006C2EC
 649        .    796   443488    0x031C 0x0006C460
 650   TROOA5    424   444068    0x01A8 0x0006C6A4
 651        .    924   444492    0x039C 0x0006C84C
 652   TROOB1    504   445080    0x01F8 0x0006CA98
 653        .   1268   445584    0x04F4 0x0006CC90
 654 TROOB2B8    472   446424    0x01D8 0x0006CFD8
 655        .   1104   446896    0x0450 0x0006D1B0
 656 TROOB3B7    556   447724    0x022C 0x0006D4EC
 657        .    948   448280    0x03B4 0x0006D718
 658 TROOB4B6    444   448976    0x01BC 0x0006D9D0
 659        .    940   449420    0x03AC 0x0006DB8C
 660   TROOB5    392   450056    0x0188 0x0006DE08
 661        .    888   450448    0x0378 0x0006DF90
 662   TROOC1    516   451008    0x0204 0x0006E1C0
 663        .   1272   451524    0x04F8 0x0006E3C4
 664 TROOC2C8    528   452376    0x0210 0x0006E718
 665        .   1180   452904    0x049C 0x0006E928
 666 TROOC3C7    472   453720    0x01D8 0x0006EC58
 667        .    848   454192    0x0350 0x0006EE30
 668 TROOC4C6    388   454824    0x0184 0x0006F0A8
 669        .    808   455212    0x0328 0x0006F22C
 670   TROOC5    424   455756    0x01A8 0x0006F44C
 671        .    924   456180    0x039C 0x0006F5F4
 672   TROOD1    508   456772    0x01FC 0x0006F844
 673        .   1200   457280    0x04B0 0x0006FA40
 674 TROOD2D8    616   458104    0x0268 0x0006FD78
 675        .   1252   458720    0x04E4 0x0006FFE0
 676 TROOD3D7    588   459592    0x024C 0x00070348
 677        .    944   460180    0x03B0 0x00070594
 678 TROOD4D6    380   460904    0x017C 0x00070868
 679        .    756   461284    0x02F4 0x000709E4
 680   TROOD5    388   461820    0x0184 0x00070BFC
 681        .    884   462208    0x0374 0x00070D80
 682   TROOE1    624   462792    0x0270 0x00070FC8
 683        .   1268   463416    0x04F4 0x00071238
 684 TROOE2E8    448   464312    0x01C0 0x000715B8
 685        .    968   464760    0x03C8 0x00071778
 686 TROOE3E7    536   465500    0x0218 0x00071A5C
 687        .    936   466036    0x03A8 0x00071C74
 688 TROOE4E6    468   466736    0x01D4 0x00071F30
 689        .    944   467204    0x03B0 0x00072104
 690   TROOE5    424   467848    0x01A8 0x00072388
 691        .    884   468272    0x0374 0x00072530
 692   TROOF1    564   468868    0x0234 0x00072784
 693        .   1212   469432    0x04BC 0x000729B8
 694 TROOF2F8    556   470312    0x022C 0x00072D28
 695        .   1104   470868    0x0450 0x00072F54
 696 TROOF3F7    612   471696    0x0264 0x00073290
 697        .    988   472308    0x03DC 0x000734F4
 698 TROOF4F6    468   472996    0x01D4 0x000737A4
 699        .    872   473464    0x0368 0x00073978
 700   TROOF5    412   474016    0x019C 0x00073BA0
 701        .    892   474428    0x037C 0x00073D3C
 702   TROOG1    420   475064    0x01A4 0x00073FB8
 703        .   1048   475484    0x0418 0x0007415C
 704 TROOG2G8    656   476220    0x0290 0x0007443C
 705        .   1204   476876    0x04B4 0x000746CC
 706 TROOG3G7    760   477768    0x02F8 0x00074A48
 707        .   1200   478528    0x04B0 0x00074D40
 708 TROOG4G6    608   479388    0x0260 0x0007509C
 709        .    980   479996    0x03D4 0x000752FC
 710   TROOG5    364   480624    0x016C 0x00075570
 711        .    864   480988    0x0360 0x000756DC
 712   TROOH1    532   481612    0x0214 0x0007594C
 713        .   1100   482144    0x044C 0x00075B60
 714 TROOH2H8    392   482972    0x0188 0x00075E9C
 715        .    884   483364    0x0374 0x00076024
 716 TROOH3H7    460   484004    0x01CC 0x000762A4
 717        .   1024   484464    0x0400 0x00076470
 718 TROOH4H6    416   485188    0x01A0 0x00076744
 719        .   1056   485604    0x0420 0x000768E4
 720   TROOH5    472   486352    0x01D8 0x00076BD0
 721        .   1088   486824    0x0440 0x00076DA8
 722   TROOI0    540   487516    0x021C 0x0007705C
 723        .   1232   488056    0x04D0 0x00077278
 724   TROOJ0    568   489004    0x0238 0x0007762C
 725        .   1132   489572    0x046C 0x00077864
 726   TROOK0    520   490488    0x0208 0x00077BF8
 727        .    956   491008    0x03BC 0x00077E00
 728   TROOL0    580   491820    0x0244 0x0007812C
 729        .    900   492400    0x0384 0x00078370
 730   TROOM0    604   493148    0x025C 0x0007865C
 731        .    808   493752    0x0328 0x000788B8
 732   TROON0    840   494480    0x0348 0x00078B90
 733        .   1696   495320    0x06A0 0x00078ED8
 734   TROOO0    996   496700    0x03E4 0x0007943C
 735        .   1948   497696    0x079C 0x00079820
 736   TROOP0   1352   499316    0x0548 0x00079E74
 737        .   2064   500668    0x0810 0x0007A3BC
 738   TROOQ0   1280   502224    0x0500 0x0007A9D0
 739        .   1820   503504    0x071C 0x0007AED0
 740   TROOR0    920   504892    0x0398 0x0007B43C
 741        .   1432   505812    0x0598 0x0007B7D4
 742   TROOS0    824   507012    0x0338 0x0007BC84
 743        .   1296   507836    0x0510 0x0007BFBC
 744   TROOT0    672   509032    0x02A0 0x0007C468
 745        .   1004   509704    0x03EC 0x0007C708
 746   TROOU0    584   510636    0x0248 0x0007CAAC
 747        .    832   511220    0x0340 0x0007CCF4
 748   POSSA1    440   512020    0x01B8 0x0007D014
 749        .   1088   512460    0x0440 0x0007D1CC
 750 POSSA2A8    432   513472    0x01B0 0x0007D5C0
 751        .   1024   513904    0x0400 0x0007D770
 752 POSSA3A7    532   514928    0x0214 0x0007DB70
 753        .   1052   515460    0x041C 0x0007DD84
 754 POSSA4A6    516   516516    0x0204 0x0007E1A4
 755        .   1004   517032    0x03EC 0x0007E3A8
 756   POSSA5    388   518024    0x0184 0x0007E788
 757        .    952   518412    0x03B8 0x0007E90C
 758   POSSB1    432   519316    0x01B0 0x0007EC94
 759        .   1124   519748    0x0464 0x0007EE44
 760 POSSB2B8    416   520820    0x01A0 0x0007F274
 761        .    980   521236    0x03D4 0x0007F414
 762 POSSB3B7    460   522204    0x01CC 0x0007F7DC
 763        .    980   522664    0x03D4 0x0007F9A8
 764 POSSB4B6    460   523652    0x01CC 0x0007FD84
 765        .   1044   524112    0x0414 0x0007FF50
 766   POSSB5    396   525124    0x018C 0x00080344
 767        .   1028   525520    0x0404 0x000804D0
 768   POSSC1    424   526492    0x01A8 0x0008089C
 769        .   1112   526916    0x0458 0x00080A44
 770 POSSC2C8    460   527988    0x01CC 0x00080E74
 771        .   1108   528448    0x0454 0x00081040
 772 POSSC3C7    476   529516    0x01DC 0x0008146C
 773        .    988   529992    0x03DC 0x00081648
 774 POSSC4C6    476   530964    0x01DC 0x00081A14
 775        .   1012   531440    0x03F4 0x00081BF0
 776   POSSC5    388   532420    0x0184 0x00081FC4
 777        .   1072   532808    0x0430 0x00082148
 778   POSSD1    424   533776    0x01A8 0x00082510
 779        .   1132   534200    0x046C 0x000826B8
 780 POSSD2D8    424   535256    0x01A8 0x00082AD8
 781        .   1088   535680    0x0440 0x00082C80
 782 POSSD3D7    404   536740    0x0194 0x000830A4
 783        .    936   537144    0x03A8 0x00083238
 784 POSSD4D6    468   538068    0x01D4 0x000835D4
 785        .    972   538536    0x03CC 0x000837A8
 786   POSSD5    400   539492    0x0190 0x00083B64
 787        .   1036   539892    0x040C 0x00083CF4
 788   POSSE1    336   540876    0x0150 0x000840CC
 789        .   1024   541212    0x0400 0x0008421C
 790 POSSE2E8    544   542196    0x0220 0x000845F4
 791        .    992   542740    0x03E0 0x00084814
 792 POSSE3E7    648   543660    0x0288 0x00084BAC
 793        .   1156   544308    0x0484 0x00084E34
 794 POSSE4E6    464   545304    0x01D0 0x00085218
 795        .   1108   545768    0x0454 0x000853E8
 796   POSSE5    332   546776    0x014C 0x000857D8
 797        .    936   547108    0x03A8 0x00085924
 798   POSSF1    336   547988    0x0150 0x00085C94
 799        .   1020   548324    0x03FC 0x00085DE4
 800 POSSF2F8    568   549304    0x0238 0x000861B8
 801        .   1040   549872    0x0410 0x000863F0
 802 POSSF3F7    640   550856    0x0280 0x000867C8
 803        .   1216   551496    0x04C0 0x00086A48
 804 POSSF4F6    492   552596    0x01EC 0x00086E94
 805        .   1144   553088    0x0478 0x00087080
 806   POSSF5    312   554152    0x0138 0x000874A8
 807        .    904   554464    0x0388 0x000875E0
 808   POSSG1    472   555336    0x01D8 0x00087948
 809        .   1164   555808    0x048C 0x00087B20
 810 POSSG2G8    444   556900    0x01BC 0x00087F64
 811        .    992   557344    0x03E0 0x00088120
 812 POSSG3G7    548   558296    0x0224 0x000884D8
 813        .   1060   558844    0x0424 0x000886FC
 814 POSSG4G6    520   559848    0x0208 0x00088AE8
 815        .   1124   560368    0x0464 0x00088CF0
 816   POSSG5    416   561400    0x01A0 0x000890F8
 817        .   1104   561816    0x0450 0x00089298
 818   POSSH0    548   562808    0x0224 0x00089678
 819        .   1252   563356    0x04E4 0x0008989C
 820   POSSI0    436   564548    0x01B4 0x00089D44
 821        .    984   564984    0x03D8 0x00089EF8
 822   POSSJ0    544   565984    0x0220 0x0008A2E0
 823        .    864   566528    0x0360 0x0008A500
 824   POSSK0    568   567384    0x0238 0x0008A858
 825        .    744   567952    0x02E8 0x0008AA90
 826   POSSL0    516   568648    0x0204 0x0008AD48
 827        .    632   569164    0x0278 0x0008AF4C
 828   POSSM0    656   569740    0x0290 0x0008B18C
 829        .   1412   570396    0x0584 0x0008B41C
 830   POSSN0   1076   571724    0x0434 0x0008B94C
 831        .   1784   572800    0x06F8 0x0008BD80
 832   POSSO0   1192   574152    0x04A8 0x0008C2C8
 833        .   1828   575344    0x0724 0x0008C770
 834   POSSP0   1164   576740    0x048C 0x0008CCE4
 835        .   1676   577904    0x068C 0x0008D170
 836   POSSQ0    972   579236    0x03CC 0x0008D6A4
 837        .   1392   580208    0x0570 0x0008DA70
 838   POSSR0    892   581364    0x037C 0x0008DEF4
 839        .   1212   582256    0x04BC 0x0008E270
 840   POSSS0    808   583288    0x0328 0x0008E678
 841        .   1120   584096    0x0460 0x0008E9A0
 842   POSST0    728   585108    0x02D8 0x0008ED94
 843        .    984   585836    0x03D8 0x0008F06C
 844   POSSU0    660   586724    0x0294 0x0008F3E4
 845        .    904   587384    0x0388 0x0008F678
 846   SPOSA1    392   588200    0x0188 0x0008F9A8
 847        .   1044   588592    0x0414 0x0008FB30
 848 SPOSA2A8    384   589540    0x0180 0x0008FEE4
 849        .    964   589924    0x03C4 0x00090064
 850 SPOSA3A7    496   590872    0x01F0 0x00090418
 851        .    988   591368    0x03DC 0x00090608
 852 SPOSA4A6    508   592312    0x01FC 0x000909B8
 853        .    972   592820    0x03CC 0x00090BB4
 854   SPOSA5    376   593732    0x0178 0x00090F44
 855        .    952   594108    0x03B8 0x000910BC
 856   SPOSB1    412   594916    0x019C 0x000913E4
 857        .   1108   595328    0x0454 0x00091580
 858 SPOSB2B8    324   596304    0x0144 0x00091950
 859        .    884   596628    0x0374 0x00091A94
 860 SPOSB3B7    400   597448    0x0190 0x00091DC8
 861        .    868   597848    0x0364 0x00091F58
 862 SPOSB4B6    456   598648    0x01C8 0x00092278
 863        .   1000   599104    0x03E8 0x00092440
 864   SPOSB5    384   599952    0x0180 0x00092790
 865        .   1036   600336    0x040C 0x00092910
 866   SPOSC1    364   601080    0x016C 0x00092BF8
 867        .   1088   601444    0x0440 0x00092D64
 868 SPOSC2C8    360   602416    0x0168 0x00093130
 869        .    988   602776    0x03DC 0x00093298
 870 SPOSC3C7    468   603660    0x01D4 0x0009360C
 871        .    940   604128    0x03AC 0x000937E0
 872 SPOSC4C6    452   604992    0x01C4 0x00093B40
 873        .    956   605444    0x03BC 0x00093D04
 874   SPOSC5    388   606272    0x0184 0x00094040
 875        .   1068   606660    0x042C 0x000941C4
 876   SPOSD1    368   607440    0x0170 0x000944D0
 877        .   1108   607808    0x0454 0x00094640
 878 SPOSD2D8    348   608784    0x015C 0x00094A10
 879        .   1004   609132    0x03EC 0x00094B6C
 880 SPOSD3D7    372   610044    0x0174 0x00094EFC
 881        .    880   610416    0x0370 0x00095070
 882 SPOSD4D6    432   611232    0x01B0 0x000953A0
 883        .    932   611664    0x03A4 0x00095550
 884   SPOSD5    392   612508    0x0188 0x0009589C
 885        .   1056   612900    0x0420 0x00095A24
 886   SPOSE1    336   613768    0x0150 0x00095D88
 887        .   1016   614104    0x03F8 0x00095ED8
 888 SPOSE2E8    476   614984    0x01DC 0x00096248
 889        .    892   615460    0x037C 0x00096424
 890 SPOSE3E7    548   616252    0x0224 0x0009673C
 891        .   1064   616800    0x0428 0x00096960
 892 SPOSE4E6    412   617656    0x019C 0x00096CB8
 893        .   1084   618068    0x043C 0x00096E54
 894   SPOSE5    332   618956    0x014C 0x000971CC
 895        .    936   619288    0x03A8 0x00097318
 896   SPOSF1    332   620060    0x014C 0x0009761C
 897        .   1008   620392    0x03F0 0x00097768
 898 SPOSF2F8    520   621296    0x0208 0x00097AF0
 899        .    948   621816    0x03B4 0x00097CF8
 900 SPOSF3F7    600   622656    0x0258 0x00098040
 901        .   1152   623256    0x0480 0x00098298
 902 SPOSF4F6    484   624228    0x01E4 0x00098664
 903        .   1148   624712    0x047C 0x00098848
 904   SPOSF5    312   625652    0x0138 0x00098BF4
 905        .    908   625964    0x038C 0x00098D2C
 906   SPOSG1    380   626724    0x017C 0x00099024
 907        .   1104   627104    0x0450 0x000991A0
 908 SPOSG2G8    400   628116    0x0190 0x00099594
 909        .    916   628516    0x0394 0x00099724
 910 SPOSG3G7    544   629360    0x0220 0x00099A70
 911        .   1036   629904    0x040C 0x00099C90
 912 SPOSG4G6    520   630832    0x0208 0x0009A030
 913        .   1124   631352    0x0464 0x0009A238
 914   SPOSG5    396   632268    0x018C 0x0009A5CC
 915        .   1068   632664    0x042C 0x0009A758
 916   SPOSH0    484   633556    0x01E4 0x0009AAD4
 917        .   1184   634040    0x04A0 0x0009ACB8
 918   SPOSI0    468   635132    0x01D4 0x0009B0FC
 919        .   1012   635600    0x03F4 0x0009B2D0
 920   SPOSJ0    552   636564    0x0228 0x0009B694
 921        .    880   637116    0x0370 0x0009B8BC
 922   SPOSK0    572   637932    0x023C 0x0009BBEC
 923        .    760   638504    0x02F8 0x0009BE28
 924   SPOSL0    536   639164    0x0218 0x0009C0BC
 925        .    680   639700    0x02A8 0x0009C2D4
 926   SPOSM0    620   640288    0x026C 0x0009C520
 927        .   1340   640908    0x053C 0x0009C78C
 928   SPOSN0   1064   642136    0x0428 0x0009CC58
 929        .   1756   643200    0x06DC 0x0009D080
 930   SPOSO0   1192   644528    0x04A8 0x0009D5B0
 931        .   1828   645720    0x0724 0x0009DA58
 932   SPOSP0   1164   647116    0x048C 0x0009DFCC
 933        .   1676   648280    0x068C 0x0009E458
 934   SPOSQ0    972   649612    0x03CC 0x0009E98C
 935        .   1392   650584    0x0570 0x0009ED58
 936   SPOSR0    892   651740    0x037C 0x0009F1DC
 937        .   1212   652632    0x04BC 0x0009F558
 938   SPOSS0    808   653664    0x0328 0x0009F960
 939        .   1120   654472    0x0460 0x0009FC88
 940   SPOST0    728   655484    0x02D8 0x000A007C
 941        .    984   656212    0x03D8 0x000A0354
 942   SPOSU0    660   657100    0x0294 0x000A06CC
 943        .    904   657760    0x0388 0x000A0960
 944   BOSSA1    520   658576    0x0208 0x000A0C90
 945        .   1944   659096    0x0798 0x000A0E98
 946 BOSSA2A8    564   660872    0x0234 0x000A1588
 947        .   1812   661436    0x0714 0x000A17BC
 948 BOSSA3A7    712   663108    0x02C8 0x000A1E44
 949        .   1992   663820    0x07C8 0x000A210C
 950 BOSSA4A6    592   665676    0x0250 0x000A284C
 951        .   1796   666268    0x0704 0x000A2A9C
 952   BOSSA5    520   667976    0x0208 0x000A3148
 953        .   1804   668496    0x070C 0x000A3350
 954   BOSSB1    700   670120    0x02BC 0x000A39A8
 955        .   2340   670820    0x0924 0x000A3C64
 956 BOSSB2B8    568   672912    0x0238 0x000A4490
 957        .   2044   673480    0x07FC 0x000A46C8
 958 BOSSB3B7    564   675312    0x0234 0x000A4DF0
 959        .   1624   675876    0x0658 0x000A5024
 960 BOSSB4B6    564   677344    0x0234 0x000A55E0
 961        .   1784   677908    0x06F8 0x000A5814
 962   BOSSB5    640   679600    0x0280 0x000A5EB0
 963        .   2116   680240    0x0844 0x000A6130
 964   BOSSC1    520   682168    0x0208 0x000A68B8
 965        .   1944   682688    0x0798 0x000A6AC0
 966 BOSSC2C8    684   684472    0x02AC 0x000A71B8
 967        .   2028   685156    0x07EC 0x000A7464
 968 BOSSC3C7    688   687024    0x02B0 0x000A7BB0
 969        .   1952   687712    0x07A0 0x000A7E60
 970 BOSSC4C6    528   689468    0x0210 0x000A853C
 971        .   1676   689996    0x068C 0x000A874C
 972   BOSSC5    520   691572    0x0208 0x000A8D74
 973        .   1804   692092    0x070C 0x000A8F7C
 974   BOSSD1    692   693712    0x02B4 0x000A95D0
 975        .   2344   694404    0x0928 0x000A9884
 976 BOSSD2D8    604   696496    0x025C 0x000AA0B0
 977        .   1976   697100    0x07B8 0x000AA30C
 978 BOSSD3D7    556   698856    0x022C 0x000AA9E8
 979        .   1652   699412    0x0674 0x000AAC14
 980 BOSSD4D6    508   700892    0x01FC 0x000AB1DC
 981        .   1888   701400    0x0760 0x000AB3D8
 982   BOSSD5    636   703112    0x027C 0x000ABA88
 983        .   2116   703748    0x0844 0x000ABD04
 984   BOSSE1    844   705652    0x034C 0x000AC474
 985        .   2236   706496    0x08BC 0x000AC7C0
 986   BOSSE2    492   708508    0x01EC 0x000ACF9C
 987        .   1720   709000    0x06B8 0x000AD188
 988   BOSSE3    740   710472    0x02E4 0x000AD748
 989        .   2020   711212    0x07E4 0x000ADA2C
 990   BOSSE4    832   713032    0x0340 0x000AE148
 991        .   2192   713864    0x0890 0x000AE488
 992   BOSSE5    760   715868    0x02F8 0x000AEC5C
 993        .   2028   716628    0x07EC 0x000AEF54
 994   BOSSE6    564   718396    0x0234 0x000AF63C
 995        .   1740   718960    0x06CC 0x000AF870
 996   BOSSE7    604   720532    0x025C 0x000AFE94
 997        .   1988   721136    0x07C4 0x000B00F0
 998   BOSSE8    840   722888    0x0348 0x000B07C8
 999        .   2436   723728    0x0984 0x000B0B10
1000   BOSSF1    924   725864    0x039C 0x000B1368
1001        .   2464   726788    0x09A0 0x000B1704
1002   BOSSF2    808   729004    0x0328 0x000B1FAC
1003        .   2076   729812    0x081C 0x000B22D4
1004   BOSSF3    692   731660    0x02B4 0x000B2A0C
1005        .   1864   732352    0x0748 0x000B2CC0
1006   BOSSF4    760   734056    0x02F8 0x000B3368
1007        .   2044   734816    0x07FC 0x000B3660
1008   BOSSF5    776   736668    0x0308 0x000B3D9C
1009        .   2032   737444    0x07F0 0x000B40A4
1010   BOSSF6    720   739292    0x02D0 0x000B47DC
1011        .   1980   740012    0x07BC 0x000B4AAC
1012   BOSSF7    584   741832    0x0248 0x000B51C8
1013        .   1728   742416    0x06C0 0x000B5410
1014   BOSSF8    764   743948    0x02FC 0x000B5A0C
1015        .   2096   744712    0x0830 0x000B5D08
1016   BOSSG1    708   746628    0x02C4 0x000B6484
1017        .   1940   747336    0x0794 0x000B6748
1018   BOSSG2    808   749116    0x0328 0x000B6E3C
1019        .   2192   749924    0x0890 0x000B7164
1020   BOSSG3    668   752004    0x029C 0x000B7984
1021        .   1876   752672    0x0754 0x000B7C20
1022   BOSSG4    696   754420    0x02B8 0x000B82F4
1023        .   1768   755116    0x06E8 0x000B85AC
1024   BOSSG5    748   756736    0x02EC 0x000B8C00
1025        .   1716   757484    0x06B4 0x000B8EEC
1026   BOSSG6    672   759040    0x02A0 0x000B9500
1027        .   1888   759712    0x0760 0x000B97A0
1028   BOSSG7    624   761416    0x0270 0x000B9E48
1029        .   1792   762040    0x0700 0x000BA0B8
1030   BOSSG8    740   763724    0x02E4 0x000BA74C
1031        .   1868   764464    0x074C 0x000BAA30
1032   BOSSH1    700   766208    0x02BC 0x000BB100
1033        .   2240   766908    0x08C0 0x000BB3BC
1034   BOSSH2    660   768880    0x0294 0x000BBB70
1035        .   1940   769540    0x0794 0x000BBE04
1036   BOSSH3    696   771364    0x02B8 0x000BC524
1037        .   2060   772060    0x080C 0x000BC7DC
1038   BOSSH4    656   773888    0x0290 0x000BCF00
1039        .   1896   774544    0x0768 0x000BD190
1040   BOSSH5    628   776276    0x0274 0x000BD854
1041        .   1964   776904    0x07AC 0x000BDAC8
1042   BOSSH6    536   778632    0x0218 0x000BE188
1043        .   1848   779168    0x0738 0x000BE3A0
1044   BOSSH7    608   780836    0x0260 0x000BEA24
1045        .   1876   781444    0x0754 0x000BEC84
1046   BOSSH8    624   783132    0x0270 0x000BF31C
1047        .   2032   783756    0x07F0 0x000BF58C
1048   BOSSI0    692   785584    0x02B4 0x000BFCB0
1049        .   2248   786276    0x08C8 0x000BFF64
1050   BOSSJ0    808   788328    0x0328 0x000C0768
1051        .   2060   789136    0x080C 0x000C0A90
1052   BOSSK0    840   791076    0x0348 0x000C1224
1053        .   1968   791916    0x07B0 0x000C156C
1054   BOSSL0    708   793640    0x02C4 0x000C1C28
1055        .   1556   794348    0x0614 0x000C1EEC
1056   BOSSM0    644   795636    0x0284 0x000C23F4
1057        .   1312   796280    0x0520 0x000C2678
1058   BOSSN0    628   797404    0x0274 0x000C2ADC
1059        .   1344   798032    0x0540 0x000C2D50
1060   BOSSO0    628   799136    0x0274 0x000C31A0
1061        .   1344   799764    0x0540 0x000C3414
1062 BAL7A1A5    208   800864    0x00D0 0x000C3860
1063        .    280   801072    0x0118 0x000C3930
1064 BAL7A2A8    364   801268    0x016C 0x000C39F4
1065        .    324   801632    0x0144 0x000C3B60
1066 BAL7A3A7    512   801856    0x0200 0x000C3C40
1067        .    392   802368    0x0188 0x000C3E40
1068 BAL7A4A6    360   802644    0x0168 0x000C3F54
1069        .    256   803004    0x0100 0x000C40BC
1070 BAL7B1B5    216   803204    0x00D8 0x000C4184
1071        .    308   803420    0x0134 0x000C425C
1072 BAL7B2B8    360   803628    0x0168 0x000C432C
1073        .    316   803988    0x013C 0x000C4494
1074 BAL7B3B7    536   804224    0x0218 0x000C4580
1075        .    400   804760    0x0190 0x000C4798
